id,amc_id,pid,model_no,s/n,rate,qty,discount,amount,Tax,tax_amount,owner,Alias
1,1,98,NULL,,NULL,1,,NULL,NULL,NULL,4,NULL
2,1,96,NULL,,NULL,1,,NULL,NULL,NULL,4,NULL
23,2,97,NULL,,NULL,1,,NULL,NULL,NULL,4,NULL
22,2,96,NULL,,NULL,1,,NULL,NULL,NULL,4,NULL
21,2,98,NULL,,NULL,1,,NULL,NULL,NULL,4,NULL
20,2,95,NULL,,NULL,1,,NULL,NULL,NULL,4,NULL
14,3,189,NULL,,NULL,1,,NULL,NULL,NULL,2,NULL
15,3,190,NULL,,NULL,1,,NULL,NULL,NULL,2,NULL
16,3,191,NULL,,NULL,4,,NULL,NULL,NULL,2,NULL
17,3,192,NULL,,NULL,1,,NULL,NULL,NULL,2,NULL
18,3,193,NULL,,NULL,1,,NULL,NULL,NULL,2,NULL
19,4,105,NULL,,NULL,1,500,NULL,NULL,NULL,4,NULL
58,5,205,NULL,,NULL,1,,NULL,NULL,NULL,2,NULL
57,5,189,NULL,,NULL,20,,NULL,NULL,NULL,2,NULL
56,5,202,NULL,,NULL,2,,NULL,NULL,NULL,2,NULL
55,5,203,NULL,,NULL,5,,NULL,NULL,NULL,2,NULL
54,5,204,NULL,,NULL,6,,NULL,NULL,NULL,2,NULL
