id,Cid,txn_id,date,type,owner,Created,CREATEDE_BY,modified,Modified_by
1,79,NOV/17/TT/150,2017-11-10,inward,2,2017-10-24 10:10:40,2,2017-11-20 16:11:53,2
2,72,1473,2017-11-09,inward,2,2017-11-07 16:11:35,2,2017-11-09 14:11:14,2
3,73,so-01938,2017-11-09,inward,2,2017-11-07 16:11:42,2,2017-11-09 14:11:32,2
4,73,SO-02274,2017-11-20,inward,2,2017-11-08 14:11:45,2,2017-11-20 16:11:27,2
5,73,SO-02603,2017-11-02,inward,2,2017-11-08 14:11:49,2,2017-11-09 15:11:12,2
6,73,SO-02685,2017-11-04,inward,2,2017-11-09 15:11:38,2,NULL,NULL
7,73,SO-02936,2017-11-09,inward,2,2017-11-09 15:11:14,2,2017-11-09 15:11:15,2
8,73,SO-03004,2017-11-15,inward,2,2017-11-15 17:11:17,2,2017-11-15 17:11:35,2
9,73,S0-03138,2017-11-14,inward,2,2017-11-15 17:11:40,2,NULL,NULL
10,76,C/17-18/GST/8621,2017-10-26,inward,2,2017-11-15 17:11:16,2,NULL,NULL
11,76,A/17-18/GST/1197,2017-11-14,inward,2,2017-11-17 15:11:42,2,NULL,NULL
12,76,A/17-18/GST/1155,2017-11-17,inward,2,2017-11-17 15:11:01,2,2017-11-17 15:11:49,2
13,76,C/17-18/GST/9596,2017-11-17,inward,2,2017-11-17 15:11:46,2,2017-11-17 15:11:28,2
14,76,C/17-18/GST/9573,2017-11-06,inward,2,2017-11-17 15:11:33,2,NULL,NULL
15,76,A/17-18/GST/1113,2017-11-04,inward,2,2017-11-17 15:11:17,2,NULL,NULL
16,76,C/17-18/GST/8620,2017-11-17,inward,2,2017-11-17 16:11:30,2,2017-11-17 16:11:58,2
17,76,C/17-18/GST/8621,2017-10-26,inward,2,2017-11-17 16:11:59,2,NULL,NULL
18,72,1767,2017-11-10,inward,2,2017-11-17 16:11:49,2,NULL,NULL
19,72,1752,2017-11-17,inward,2,2017-11-17 16:11:05,2,2017-11-17 16:11:07,2
20,80,MRP/17-18/433,2017-11-09,inward,2,2017-11-17 16:11:24,2,2017-11-20 16:11:42,2
21,76,A-17-18/GST/1260,2017-11-21,inward,2,2017-11-22 16:11:48,2,NULL,NULL
22,73,SO-03551,2017-11-24,inward,2,2017-11-24 17:11:41,2,NULL,NULL
23,126,,2017-11-29,inward,2,2017-11-29 16:11:02,2,NULL,NULL
24,127,,2017-11-29,outward,2,2017-11-29 16:11:49,2,NULL,NULL
25,136,178,2017-12-01,inward,2,2017-12-02 16:12:06,2,NULL,NULL
26,73,SO-03830,2017-12-02,inward,2,2017-12-02 16:12:39,2,2017-12-02 17:12:48,2
27,76,C-17-18/11871,2017-12-04,inward,2,2017-12-04 16:12:26,2,2017-12-04 16:12:20,2
28,152,TSS/17-18/5584,2017-12-09,inward,2,2017-12-11 15:12:12,2,NULL,NULL
29,73,,2017-12-19,inward,2,2017-12-19 17:12:46,2,NULL,NULL
30,170,,2017-12-19,inward,2,2017-12-19 17:12:59,2,NULL,NULL
31,171,,2017-12-19,inward,2,2017-12-19 17:12:04,2,NULL,NULL
32,172,,2017-12-19,inward,2,2017-12-19 17:12:12,2,NULL,NULL
33,73,SK/2017-18/05152,2017-12-20,inward,2,2017-12-19 17:12:36,2,2017-12-20 14:12:46,2
34,73,SK/02017-18/05101,2017-12-19,inward,2,2017-12-19 17:12:56,2,2017-12-20 17:12:15,2
35,76,1,2017-12-19,inward,2,2017-12-19 18:12:24,2,2017-12-20 14:12:37,2
36,173,1291,2017-12-19,outward,2,2017-12-19 18:12:50,2,2017-12-19 21:12:07,2
