Id,inid,pid,Inward,outward,bal,owner,mod_no. ,sn,alias
15,2,13,1,0,1,2,NULL,151019Q0300426,NULL
14,2,12,1,0,1,2,NULL,151121Q1900550,NULL
21,3,14,1,0,1,2,NULL,3E00AF2PBQDB8T0,NULL
20,3,15,1,0,1,2,NULL,2LO51CCPAL01113,NULL
19,3,16,1,0,1,2,NULL,3H01B2EGAR00819,NULL
121,4,15,1,0,11,2,NULL,3F02485AAG10511,false
48,5,18,1,0,1,2,NULL,3D05ECDPAR00114,NULL
47,5,18,1,0,2,2,NULL,3DO5ECDPAR02999,NULL
16,2,12,1,0,2,2,NULL,151121Q1900530,NULL
17,2,13,1,0,2,2,NULL,151019Q300413,NULL
18,2,13,1,0,3,2,NULL,151019Q300431,NULL
120,4,15,1,0,10,2,NULL,3F02485AAG10482,false
119,4,15,1,0,9,2,NULL,3F02485AAG10496,false
118,4,15,1,0,8,2,NULL,3F02485AAG10521,false
117,4,15,1,0,7,2,NULL,3F02485AAG10518,false
116,4,15,1,0,6,2,NULL,3F0248AAAG10533,false
115,4,15,1,0,5,2,NULL,3F02485AAG10514,false
114,4,16,1,0,2,2,NULL,3H03F46PAR08565,false
46,5,18,1,0,3,2,NULL,3D05ECDPAR00707,NULL
45,5,18,1,0,4,2,NULL,3D05ECDPAR00723,NULL
44,5,18,1,0,5,2,NULL,3D05ECDPAR00714,NULL
49,6,15,1,0,19,2,NULL,3F06064PAG03833,NULL
50,6,15,1,0,20,2,NULL,3F06064PAG03577,NULL
51,6,15,1,0,21,2,NULL,3F06064PAG04931,NULL
52,6,15,1,0,22,2,NULL,3F06064PAG03851,NULL
53,6,15,1,0,23,2,NULL,3F06064PAG03514,NULL
54,6,15,1,0,24,2,NULL,3F06064PAG03764,NULL
55,6,15,1,0,25,2,NULL,3F06064PAG03857,NULL
56,6,15,1,0,26,2,NULL,3F06064PAG04950,NULL
57,6,15,1,0,18,2,NULL,3F06064PAG03897,NULL
58,6,15,1,0,17,2,NULL,3F06064PAG04736,NULL
59,6,15,1,0,12,2,NULL,3F06064PAG03743,NULL
60,6,15,1,0,13,2,NULL,3F06064PAG04948,NULL
61,6,15,1,0,14,2,NULL,3H0503EPAL02220,NULL
62,6,15,1,0,15,2,NULL,3H0503EPAL00835,NULL
63,6,15,1,0,16,2,NULL,3H0503EPAL02415,NULL
64,6,14,1,0,2,2,NULL,3E00AF2PBQAUPFG,NULL
65,6,14,1,0,3,2,NULL,3E067F9PBQSQXJU,NULL
69,7,19,1,0,1,2,NULL,3J0009APA568790,NULL
68,7,14,1,0,4,2,NULL,3E067F9PBQY2Z7W,NULL
70,7,19,1,0,10,2,NULL,3J0009APA568809,NULL
71,7,19,1,0,9,2,NULL,3J0009APA568839,NULL
72,7,19,1,0,8,2,NULL,3J0009APA568822,NULL
73,7,19,1,0,7,2,NULL,3J0009APA568860,NULL
74,7,19,1,0,6,2,NULL,3J0009APA568857,NULL
75,7,19,1,0,5,2,NULL,3J0009APA568856,NULL
76,7,19,1,0,4,2,NULL,3J0009APA568827,NULL
77,7,19,1,0,3,2,NULL,3J0009APA568855,NULL
78,7,19,1,0,2,2,NULL,3J0009APA568853,NULL
84,8,22,1,0,1,2,NULL,3D05ECDPAR00342,NULL
83,8,22,1,0,2,2,NULL,3D05ECDPAR01598,NULL
82,8,22,1,0,3,2,NULL,3D05ECDPAR00269,NULL
85,8,22,1,0,4,2,NULL,3D05ECDPAR02166,NULL
86,8,22,1,0,5,2,NULL,3D05ECDPAR02976,NULL
87,9,21,1,0,1,2,NULL,3H044DOPAPA1347,NULL
88,10,24,1,0,1,2,NULL,Czav705pmkt052373po,NULL
89,11,23,1,0,1,2,NULL,Z9C3WQNR,NULL
91,12,20,1,0,1,2,NULL,Z5231XT7,NULL
93,13,20,1,0,2,2,NULL,Z5231Z1R,NULL
94,14,25,1,0,1,2,NULL,,NULL
95,15,20,1,0,3,2,NULL,Z52324X6,NULL
97,16,20,1,0,4,2,NULL,Z5231YZ1,NULL
98,17,24,1,0,2,2,NULL,,NULL
99,18,26,1,0,1,2,NULL,,NULL
101,19,27,200,0,200,2,NULL,,NULL
102,19,28,100,0,100,2,NULL,,NULL
111,1,32,1,0,1,2,NULL,,false
110,1,29,1,0,1,2,NULL,,false
107,20,37,50,0,50,2,NULL,,false
108,20,34,10,0,10,2,NULL,,false
109,20,35,10,0,10,2,NULL,,false
112,1,30,1,0,1,2,NULL,,false
113,1,31,30,0,30,2,NULL,,false
122,4,15,1,0,2,2,NULL,3F02485AAG10503,false
123,4,15,1,0,3,2,NULL,3F02485AAG10507,false
124,4,15,1,0,4,2,NULL,3F02485AAG10504,false
125,4,16,1,0,3,2,NULL,3H03F6PAR08893,false
126,4,16,1,0,4,2,NULL,3H03F46PAR08920,false
127,4,16,1,0,5,2,NULL,3H03FA46PAR09192,false
128,4,16,1,0,6,2,NULL,3H03F46PAR09036,false
129,4,17,1,0,1,2,NULL,3H0007FPA538714,false
130,25,38,300,0,300,2,NULL,,false
131,25,39,100,0,100,2,NULL,,false
162,26,43,1,0,1,2,NULL,3E02C1CPAF06172,false
161,26,45,0,0,0,2,NULL,,false
160,26,42,1,0,1,2,NULL,3E06B73PAR03760,false
159,26,42,1,0,10,2,NULL,3E06B73PAR03527,false
158,26,42,1,0,9,2,NULL,3E06B73PAR03400,false
157,26,42,1,0,8,2,NULL,3E06B73PAR03357,false
156,26,42,1,0,7,2,NULL,3E06B73PAR03522,false
155,26,42,1,0,6,2,NULL,3E06B73PAR03552,false
154,26,42,1,0,5,2,NULL,3E06B73PAR03526,false
153,26,42,1,0,4,2,NULL,3E06B73PAR03925,false
152,26,42,1,0,3,2,NULL,3E06B73PAR03900,false
151,26,42,1,0,2,2,NULL,3E06B73PAR03932,false
150,26,41,1,0,1,2,NULL,3E00AC3PAETBONN,false
149,26,44,1,0,1,2,NULL,3E00AC3PAEBN6X0,false
163,26,43,1,0,2,2,NULL,3E02C1CPAF06462,false
164,26,46,0,0,0,2,NULL,,false
165,26,43,1,0,3,2,NULL,3E02C1CPAF06514,false
167,27,47,1,0,1,2,NULL,ZAD2KVAA,false
168,27,47,1,0,2,2,NULL,ZAD07YY9,false
169,28,49,1,0,1,2,NULL,NXT17KN090931,false
487,34,53,1,0,1,2,NULL,3E07A60PAR05963,false
486,34,53,1,0,10,2,NULL,3F02EAEPAR02933,false
485,34,53,1,0,11,2,NULL,3E07A60PAR05653,false
484,34,53,1,0,12,2,NULL,3F02EAEPAR02830,false
483,34,53,1,0,13,2,NULL,3E07A60PAR05670,false
482,34,53,1,0,14,2,NULL,3E07A60PAR06343,false
481,34,53,1,0,15,2,NULL,3E07A60PAR05667,false
480,34,53,1,0,9,2,NULL,3E07A60PAR05636,false
479,34,53,1,0,8,2,NULL,3E07A60PAR06152,false
478,34,42,1,0,22,2,NULL,3E04942PAG05135,false
477,34,42,1,0,23,2,NULL,3E04942PAG05706,false
476,34,42,1,0,24,2,NULL,3E04942PAG04728,false
475,34,42,1,0,25,2,NULL,3E04942PAG05276,false
474,34,42,1,0,26,2,NULL,3E04942PAG05163,false
473,34,42,1,0,27,2,NULL,3E04942PAG04754,false
472,34,42,1,0,28,2,NULL,3E04942PAG05711,false
471,34,42,1,0,29,2,NULL,3E04942PAG05147,false
470,34,42,1,0,30,2,NULL,3E04942PAG04270,false
324,35,20,1,0,5,2,NULL,Z523LSKN,false
319,36,15,0,1,17,2,NULL,3E04942PAG05353,false
318,36,15,0,1,18,2,NULL,3E04942PAG04424,false
317,36,15,0,1,19,2,NULL,3E04942PAG05966,false
316,36,15,0,1,20,2,NULL,3E04942PAG05724,false
315,36,15,0,1,21,2,NULL,3E04942PAG05705,false
314,36,15,0,1,22,2,NULL,3E04942PAG05127,false
313,36,15,0,1,23,2,NULL,3E04942PAG05120,false
