id,inid,pid,mod_no,s/n,rate,qty,discount,Amount,tax,tax_amount,owner,Alias
9,1,36,NULL,,2100,1,,2100,NULL,NULL,2,false
21,3,63,NULL,,300,1,,300,NULL,NULL,2,false
20,3,54,NULL,,1200,1,,1200,NULL,NULL,2,false
35,4,25,NULL,,100,1,,100,NULL,NULL,2,false
34,4,54,NULL,,100,1,,100,NULL,NULL,2,false
33,4,73,NULL,3H0373DPBQ2HXU9,13000,1,,13000,NULL,NULL,2,false
852,6,83,NULL,,14750,1,,14750,NULL,NULL,2,false
892,5,82,NULL,,65,250,5%,15437.5,NULL,NULL,2,false
891,5,40,NULL,,90,50,5%,4275,NULL,NULL,2,false
890,5,76,NULL,,360,8,5%,2736,NULL,NULL,2,false
889,5,62,NULL,,5400,1,5%,5130,NULL,NULL,2,false
888,5,81,NULL,,8100,1,5%,7695,NULL,NULL,2,false
887,5,78,NULL,,90,40,5%,3420,NULL,NULL,2,false
886,5,79,NULL,,130,60,5%,7410,NULL,NULL,2,false
885,5,37,NULL,,350,12,5%,3990,NULL,NULL,2,false
884,5,27,NULL,,54,26,5%,1333.8,NULL,NULL,2,false
883,5,42,NULL,,2250,2,5%,4275,NULL,NULL,2,false
882,5,43,NULL,,2700,10,5%,25650,NULL,NULL,2,false
881,5,73,NULL,,16000,1,5%,15200,NULL,NULL,2,false
880,5,48,NULL,,12500,1,5%,11875,NULL,NULL,2,false
879,5,61,NULL,,13500,1,5%,12825,NULL,NULL,2,false
878,5,77,NULL,,1600,1,5%,1520,NULL,NULL,2,false
877,5,65,NULL,,10000,1,5%,9500,NULL,NULL,2,false
851,6,84,NULL,,300,1,,300,NULL,NULL,2,false
319,7,89,NULL,,800,3,,2400,NULL,NULL,4,false
321,8,89,NULL,,800,1,,800,NULL,NULL,4,false
322,9,89,NULL,,800,3,,2400,NULL,NULL,4,false
968,10,90,NULL,,6300,1,7.5%,5827.5,NULL,NULL,2,false
967,10,65,NULL,,4000,1,7.5%,3700,NULL,NULL,2,false
966,10,18,NULL,,9500,1,7.5%,8787.5,NULL,NULL,2,false
965,10,100,NULL,,75,10,7.5%,693.75,NULL,NULL,2,false
964,10,99,NULL,,1250,1,7.5%,1156.25,NULL,NULL,2,false
963,10,84,NULL,,500,1,7.5%,462.5,NULL,NULL,2,false
962,10,91,NULL,,8200,1,7.5%,7585,NULL,NULL,2,false
961,10,62,NULL,,5400,1,7.5%,4995,NULL,NULL,2,false
960,10,19,NULL,,2250,7,7.5%,14568.8,NULL,NULL,2,false
959,10,56,NULL,,9000,1,7.5%,8325,NULL,NULL,2,false
958,10,35,NULL,,3200,1,7.5%,2960,NULL,NULL,2,false
957,10,27,NULL,,54,16,7.5%,799.2,NULL,NULL,2,false
956,10,20,NULL,,5400,1,7.5%,4995,NULL,NULL,2,false
955,10,65,NULL,,5000,1,7.5%,4625,NULL,NULL,2,false
954,10,72,NULL,,450,1,7.5%,416.25,NULL,NULL,2,false
953,10,58,NULL,,600,2,7.5%,1110,NULL,NULL,2,false
952,10,60,NULL,,3750,2,7.5%,6937.5,NULL,NULL,2,false
951,10,75,NULL,,13500,2,7.5%,24975,NULL,NULL,2,false
950,10,65,NULL,,4000,1,7.5%,3700,NULL,NULL,2,false
873,11,105,NULL,,0,5,,0,NULL,NULL,4,false
876,12,20,NULL,Z523W2CG,6900,1,,6900,NULL,NULL,2,false
