id,inid,in_details_id,tax_id,t_name,t_percent,t_amount
18,1,9,9,SGST 14%,14,294
3605,46,2036,6,CGST 9%,9,607.5
17,1,9,8,CGST 14%,14,294
68,4,35,6,CGST 9%,9,9
42,3,21,6,CGST 9%,9,27
41,3,21,7,SGST9%,9,27
40,3,20,6,CGST 9%,9,108
39,3,20,7,SGST9%,9,108
67,4,35,7,SGST9%,9,9
66,4,34,6,CGST 9%,9,9
65,4,34,7,SGST9%,9,9
64,4,33,6,CGST 9%,9,1170
63,4,33,7,SGST9%,9,1170
1749,5,892,6,CGST 9%,9,1389.38
1748,5,892,7,SGST9%,9,1389.38
1747,5,891,6,CGST 9%,9,384.75
1746,5,891,7,SGST9%,9,384.75
1745,5,890,6,CGST 9%,9,246.24
1744,5,890,7,SGST9%,9,246.24
1743,5,889,6,CGST 9%,9,461.7
1742,5,889,7,SGST9%,9,461.7
1741,5,888,6,CGST 9%,9,692.55
1740,5,888,7,SGST9%,9,692.55
1739,5,887,6,CGST 9%,9,307.8
1738,5,887,7,SGST9%,9,307.8
1737,5,886,6,CGST 9%,9,666.9
1736,5,886,7,SGST9%,9,666.9
1735,5,885,9,SGST 14%,14,558.6
1734,5,885,8,CGST 14%,14,558.6
1733,5,884,6,CGST 9%,9,120.042
1732,5,884,7,SGST9%,9,120.042
1731,5,883,6,CGST 9%,9,384.75
1730,5,883,7,SGST9%,9,384.75
1729,5,882,6,CGST 9%,9,2308.5
1728,5,882,7,SGST9%,9,2308.5
1727,5,881,6,CGST 9%,9,1368
1726,5,881,7,SGST9%,9,1368
1725,5,880,6,CGST 9%,9,1068.75
1724,5,880,7,SGST9%,9,1068.75
1723,5,879,6,CGST 9%,9,1154.25
1722,5,879,7,SGST9%,9,1154.25
1721,5,878,6,CGST 9%,9,136.8
1720,5,878,7,SGST9%,9,136.8
1719,5,877,6,CGST 9%,9,855
1718,5,877,7,SGST9%,9,855
1673,6,852,9,SGST 14%,14,2065
1672,6,852,8,CGST 14%,14,2065
1671,6,851,6,CGST 9%,9,27
1670,6,851,7,SGST9%,9,27
622,7,319,11,SGST 2.5%,2.5,60
623,7,319,10,CGST 2.5%,2.5,60
627,8,321,10,CGST 2.5%,2.5,20
626,8,321,11,SGST 2.5%,2.5,20
628,9,322,11,SGST 2.5%,2.5,60
629,9,322,10,CGST 2.5%,2.5,60
1717,12,876,6,CGST 9%,9,621
1901,10,968,6,CGST 9%,9,524.475
1900,10,968,7,SGST9%,9,524.475
1899,10,967,6,CGST 9%,9,333
1898,10,967,7,SGST9%,9,333
1897,10,966,6,CGST 9%,9,790.875
1896,10,966,7,SGST9%,9,790.875
1895,10,965,6,CGST 9%,9,62.4375
1894,10,965,7,SGST9%,9,62.4375
1893,10,964,6,CGST 9%,9,104.062
1892,10,964,7,SGST9%,9,104.062
1891,10,963,6,CGST 9%,9,41.625
1890,10,963,7,SGST9%,9,41.625
1889,10,962,6,CGST 9%,9,682.65
1888,10,962,7,SGST9%,9,682.65
1887,10,961,6,CGST 9%,9,449.55
1886,10,961,7,SGST9%,9,449.55
1885,10,960,6,CGST 9%,9,1311.19
1884,10,960,7,SGST9%,9,1311.19
1883,10,959,6,CGST 9%,9,749.25
1882,10,959,7,SGST9%,9,749.25
1881,10,958,6,CGST 9%,9,266.4
1880,10,958,7,SGST9%,9,266.4
1879,10,957,6,CGST 9%,9,71.928
1878,10,957,7,SGST9%,9,71.928
1877,10,956,6,CGST 9%,9,449.55
1876,10,956,7,SGST9%,9,449.55
1875,10,955,6,CGST 9%,9,416.25
1874,10,955,7,SGST9%,9,416.25
1873,10,954,6,CGST 9%,9,37.4625
1872,10,954,7,SGST9%,9,37.4625
1871,10,953,6,CGST 9%,9,99.9
1868,10,952,7,SGST9%,9,624.375
1870,10,953,7,SGST9%,9,99.9
1869,10,952,6,CGST 9%,9,624.375
1867,10,951,6,CGST 9%,9,2247.75
1866,10,951,7,SGST9%,9,2247.75
1865,10,950,6,CGST 9%,9,333
1864,10,950,7,SGST9%,9,333
1716,12,876,7,SGST9%,9,621
1902,13,969,7,SGST9%,9,1170
1903,13,969,6,CGST 9%,9,1170
1941,19,1012,NULL,NULL,NULL,0
1937,20,1006,7,SGST9%,9,220.5
1938,20,1006,6,CGST 9%,9,220.5
1935,21,1005,7,SGST9%,9,243
1934,21,1004,6,CGST 9%,9,225
1933,21,1004,7,SGST9%,9,225
1932,21,1003,6,CGST 9%,9,6.75
1931,21,1003,7,SGST9%,9,6.75
1936,21,1005,6,CGST 9%,9,243
1942,22,1013,7,SGST9%,9,108
1943,22,1013,6,CGST 9%,9,108
2190,23,1137,7,SGST9%,9,13.5
2191,23,1137,6,CGST 9%,9,13.5
2192,23,1138,7,SGST9%,9,32.4
2193,23,1138,6,CGST 9%,9,32.4
2194,23,1139,7,SGST9%,9,5.4
2195,23,1139,6,CGST 9%,9,5.4
2196,23,1140,7,SGST9%,9,19.44
2197,23,1140,6,CGST 9%,9,19.44
2198,23,1141,7,SGST9%,9,180
2199,23,1141,6,CGST 9%,9,180
2200,23,1142,7,SGST9%,9,1125
2201,23,1142,6,CGST 9%,9,1125
2202,23,1143,7,SGST9%,9,191.25
2203,23,1143,6,CGST 9%,9,191.25
2204,23,1144,7,SGST9%,9,243
2205,23,1144,6,CGST 9%,9,243
2206,23,1145,7,SGST9%,9,108
2207,23,1145,6,CGST 9%,9,108
2208,23,1146,7,SGST9%,9,225
2209,23,1146,6,CGST 9%,9,225
2210,25,1147,7,SGST9%,9,189
2167,24,1125,6,CGST 9%,9,882
2166,24,1125,7,SGST9%,9,882
2211,25,1147,6,CGST 9%,9,189
3643,26,2055,6,CGST 9%,9,90
3642,26,2055,7,SGST9%,9,90
3641,26,2054,6,CGST 9%,9,486
3640,26,2054,7,SGST9%,9,486
3639,26,2053,6,CGST 9%,9,1620
3638,26,2053,7,SGST9%,9,1620
3634,27,2051,7,SGST9%,9,2.7
3633,27,2050,6,CGST 9%,9,9
3632,27,2050,7,SGST9%,9,9
3631,27,2049,6,CGST 9%,9,4.05
3630,27,2049,7,SGST9%,9,4.05
3629,27,2048,6,CGST 9%,9,270
3628,27,2048,7,SGST9%,9,270
2334,28,1209,6,CGST 9%,9,213.84
2333,28,1208,6,CGST 9%,9,106.92
2332,28,1208,7,SGST9%,9,106.92
2331,28,1207,7,SGST9%,9,213.84
2330,28,1207,6,CGST 9%,9,213.84
2329,28,1206,6,CGST 9%,9,594
2328,28,1206,7,SGST9%,9,594
2327,28,1205,7,SGST9%,9,213.84
2326,28,1205,6,CGST 9%,9,213.84
2325,28,1204,6,CGST 9%,9,427.68
2324,28,1204,7,SGST9%,9,427.68
2323,28,1203,6,CGST 9%,9,396
2322,28,1203,7,SGST9%,9,396
2335,28,1209,7,SGST9%,9,213.84
2343,29,1216,6,CGST 9%,9,270
2342,29,1216,7,SGST9%,9,270
2345,30,1217,6,CGST 9%,9,72
2344,30,1217,7,SGST9%,9,72
3195,31,1642,6,CGST 9%,9,2025
3194,31,1642,7,SGST9%,9,2025
3193,31,1641,6,CGST 9%,9,2025
3192,31,1641,7,SGST9%,9,2025
3191,31,1640,6,CGST 9%,9,207
3190,31,1640,7,SGST9%,9,207
3189,31,1639,6,CGST 9%,9,207
3188,31,1639,7,SGST9%,9,207
3187,31,1638,6,CGST 9%,9,207
3186,31,1638,7,SGST9%,9,207
3185,31,1637,6,CGST 9%,9,207
3184,31,1637,7,SGST9%,9,207
3183,31,1636,6,CGST 9%,9,207
3182,31,1636,7,SGST9%,9,207
3181,31,1635,6,CGST 9%,9,207
3180,31,1635,7,SGST9%,9,207
3179,31,1634,6,CGST 9%,9,207
3178,31,1634,7,SGST9%,9,207
3177,31,1633,6,CGST 9%,9,144
3176,31,1633,7,SGST9%,9,144
3175,31,1632,6,CGST 9%,9,144
3174,31,1632,7,SGST9%,9,144
3173,31,1631,6,CGST 9%,9,144
3172,31,1631,7,SGST9%,9,144
3171,31,1630,6,CGST 9%,9,787.5
3170,31,1630,7,SGST9%,9,787.5
3169,31,1629,7,SGST9%,9,697.5
3168,31,1629,6,CGST 9%,9,697.5
3167,31,1628,7,SGST9%,9,1800
3166,31,1628,6,CGST 9%,9,1800
3165,31,1627,6,CGST 9%,9,3510
3164,31,1627,7,SGST9%,9,3510
3163,31,1626,6,CGST 9%,9,243
3162,31,1626,7,SGST9%,9,243
3161,31,1625,6,CGST 9%,9,139.5
3160,31,1625,7,SGST9%,9,139.5
3159,31,1624,6,CGST 9%,9,139.5
3158,31,1624,7,SGST9%,9,139.5
3157,31,1623,6,CGST 9%,9,139.5
3156,31,1623,7,SGST9%,9,139.5
3155,31,1622,6,CGST 9%,9,139.5
3154,31,1622,7,SGST9%,9,139.5
3152,31,1621,7,SGST9%,9,139.5
3153,31,1621,6,CGST 9%,9,139.5
