pid,Name,Owner,Crated,created_by,Modified ,modified_by,Section
1,IRENE,0,2017-07-15 21:07:10,0,NULL,NULL,NULL
2,IRENE retest,0,2017-07-15 21:07:14,0,NULL,NULL,NULL
3,IRENE retest,0,2017-07-15 21:07:37,0,NULL,NULL,NULL
4,IRENE for Travel,0,2017-07-15 21:07:04,0,NULL,NULL,NULL
5,IRENE for Travel,0,2017-07-15 21:07:38,0,NULL,NULL,NULL
6,IRENE for Travel edit,0,2017-07-15 21:07:07,0,2017-07-15 21:07:47,0,NULL
7,10th Computer Applications,1,2017-09-19 23:09:44,1,NULL,NULL,NULL
8,Computer Science Regular 2017-18,1,2017-10-24 09:10:11,1,2018-02-02 09:02:42,1,Courses
9,Short Term CS,1,2017-10-24 09:10:40,1,2017-11-22 18:11:06,1,Courses
10,Computer Application,1,2017-10-24 09:10:23,1,NULL,NULL,Courses
11,Outdoor CCTV Camera,2,2017-10-24 10:10:10,2,2018-01-29 13:01:00,2,Products
12,CCTV Camera (HC-AHD-TM10N2E,2,2017-11-07 16:11:35,2,2018-01-29 13:01:53,2,Products
13,CCTV Camera (HC-AHD-TM10N3),2,2017-11-07 16:11:35,2,NULL,NULL,Products
14,8 Ch DVR DH-XVRS5108HS,2,2017-11-07 16:11:42,2,2018-02-21 13:02:10,2,Products
15,DH-HAC-HDW1220RP-0360B (85258090),2,2017-11-07 16:11:42,2,2018-02-21 13:02:01,2,Products
16,DH-HAC-HFW1220SP-0360 (85258090),2,2017-11-07 16:11:42,2,2018-09-17 14:09:02,2,Products
17,16Ch DVR - DH-XVR4116HS,2,2017-11-09 14:11:18,2,2018-02-21 13:02:48,2,Products
18,DPA 570 Amplifier,2,2017-11-09 15:11:53,2,2018-01-15 11:01:21,2,Products
19,DH-HAC-HFW1100RP-0360-S3(85258090),2,2017-11-09 15:11:14,2,2018-02-21 13:02:55,2,Products
20,HDD 2TB Seagate Sata Sv35,2,2017-11-09 16:11:13,2,2018-09-17 14:09:33,2,Products
21,DH-XVR4104HS,2,2017-11-15 16:11:49,2,2018-09-17 14:09:46,2,Products
22,DH-HAC-HFW1100BP-0600B,2,2017-11-15 16:11:38,2,2018-03-15 13:03:18,2,Products
24,Monitor 22 inch LG Led,2,2017-11-15 17:11:16,2,2018-02-21 13:02:07,2,Products
25,HDMI Cable 1.5 m,2,2017-11-17 15:11:47,2,2018-02-21 13:02:19,2,Products
27,BNC Connector,2,2017-11-17 16:11:11,2,2018-04-27 13:04:31,2,Products
28,DC Pin,2,2017-11-17 16:11:09,2,2018-04-27 13:04:13,2,Products
29,Crystal EPABX G-32MF,2,2017-11-17 16:11:51,2,NULL,NULL,Products
30,Crystal Security Display,2,2017-11-17 16:11:28,2,NULL,NULL,Products
31,Binatone Trend 1(Black) Slim Phone,2,2017-11-17 16:11:36,2,NULL,NULL,Products
32,Crtstal 16F,2,2017-11-17 16:11:52,2,NULL,NULL,Products
155,Sony Samrt TV  W 650D,2,2018-03-15 13:03:48,2,2018-03-15 13:03:46,2,Products
34,"M.R.E.12V DC,Smps Powersupply for 4 CCTV Camera",2,2017-11-20 16:11:35,2,2018-06-18 12:06:19,2,Products
35,"M.R.E12V DC, smps Powersupply for 8 CCTV Camera",2,2017-11-20 16:11:35,2,2018-06-18 12:06:04,2,Products
36,M.R.E12V DC Smps Power supply for 16 CCTV Camera,2,2017-11-20 16:11:38,2,2018-06-18 12:06:33,2,Products
37,M.R.E 12V DC1.5A Powersupply,2,2017-11-20 16:11:42,2,2018-06-06 13:06:02,2,Products
38,4+1Flexible Cable(Copper armed cable),2,2017-12-02 16:12:12,2,2018-02-19 17:02:02,2,Products
39,2+2 CCTV Coxial Cable,2,2017-12-02 16:12:43,2,NULL,NULL,Products
40,4+1 Aarmed Cable(Polytex),2,2017-12-02 16:12:20,2,2018-02-19 17:02:46,2,Products
41,DH-XVR4216AN,2,2017-12-02 16:12:21,2,NULL,NULL,Products
42,Quaterly Service charges,2,2017-12-02 16:12:58,2,2018-04-20 16:04:34,2,Products
43,DH-HAC-HFW1200RP-0360,2,2017-12-02 16:12:00,2,2018-02-21 14:02:55,2,Products
151,TP Link Wireless Modem router ,2,2018-02-22 11:02:33,2,NULL,NULL,Products
110,Matel Saddel 1/2,2,2018-01-27 14:01:11,2,NULL,NULL,Products
47,HDD 6TB Seagate Sv,2,2017-12-04 16:12:21,2,NULL,NULL,Products
48,HDD 4TB Seagate Sata sv35,2,2017-12-05 18:12:17,2,2018-09-24 13:09:32,2,Products
49,LED Monitor,2,2017-12-11 15:12:53,2,NULL,NULL,Products
50,DH-XVR4116HS,2,2017-12-20 13:12:19,2,NULL,NULL,Products
51,LG 20 inch LED Monitor,2,2017-12-20 13:12:52,2,2018-01-17 17:01:44,2,Products
