Id,pid,Alias,cost_price,sell_price,Date
1,7,10th CA,9500,9500,0000-00-00
2,8,Long CS,27000,27000,0000-00-00
3,9,Short CS,10000,10000,0000-00-00
4,10,Comp App,9500,9500,0000-00-00
183,11,Outdoor Camera,2500,2700,0000-00-00
243,14,,6800,10800,0000-00-00
233,17,16 Ch. DVR  Dahua,5100,12500,0000-00-00
365,20,,4400,5400,0000-00-00
359,36,M.R.E.08d,1225,2500,0000-00-00
261,24,,4648,10500,0000-00-00
256,25,,150,350,0000-00-00
334,28,,7,35,0000-00-00
19,29,,11750,0,0000-00-00
20,30,,3475,0,0000-00-00
21,31,,365,0,0000-00-00
30,9,Short CS,10000,10000,0000-00-00
31,9,Short CS,9500,9500,0000-00-00
32,9,Short CS,9500,9500,0000-00-00
33,9,Short CS,10000,10000,0000-00-00
34,9,Short CS,10000,10000,0000-00-00
35,9,Short CS,9500,9500,0000-00-00
36,9,Short CS,9500,9500,0000-00-00
229,38,,38,85,0000-00-00
39,39,,36,0,0000-00-00
230,40,,38,85,0000-00-00
41,41,,8500,0,0000-00-00
327,42,,14750,14750,0000-00-00
270,43,,1250,2500,0000-00-00
45,47,,11650,0,0000-00-00
237,15,2mp IR Dome indoor Camera 20 mtr,1150,2500,0000-00-00
364,16,2mp IR Bullet camera out door Dahua 30mtr.,1350,2500,0000-00-00
377,48,,7500,9800,0000-00-00
54,49,Nextron 15'',2850,3500,0000-00-00
140,51,20,5875,8500,0000-00-00
58,52,2MP Indoor Dome Camera,1100,2500,0000-00-00
59,53,2MP Out Door Bulet Camera,1375,2700,0000-00-00
257,54,,500,900,0000-00-00
250,56,,3300,9000,0000-00-00
63,57,Biometric T&A Access Control,3590,6500,0000-00-00
68,58,,200,600,0000-00-00
66,60,,1100,2250,0000-00-00
70,61,24M38H,11200,13500,0000-00-00
124,62,,2441,7000,0000-00-00
74,64,,0,0,0000-00-00
228,65,,0,0,0000-00-00
277,66,Honet VDP PBX,7000,9000,0000-00-00
259,67,Honet Door Camera,1500,3000,0000-00-00
82,68,Honet VDP,0,0,0000-00-00
83,69,Out door Lobby Panel,10700,18000,0000-00-00
84,70,,4500,10000,0000-00-00
85,71,,250,750,0000-00-00
86,72,,250,750,0000-00-00
87,73,,0,0,0000-00-00
353,74,M.R.E.03,275,500,0000-00-00
354,37,M.R.E02a,175,350,0000-00-00
93,75,Biometric machine,9199,13500,0000-00-00
95,77,"6""",1000,1600,0000-00-00
98,79,,0,0,0000-00-00
100,78,,0,0,0000-00-00
103,81,"24""×30""×6""",0,8100,0000-00-00
104,82,,0,0,0000-00-00
271,83,UA24H4003ARLXL,13000,15500,0000-00-00
106,84,,100,300,0000-00-00
107,87,Ess keypad for Access Control,0,0,0000-00-00
108,88,,800,1500,0000-00-00
133,101,,1875,0,0000-00-00
111,18,Ahuja Digital Player,4667,9000,0000-00-00
112,90,,4500,9000,0000-00-00
142,91,,5200,7700,0000-00-00
239,19,,950,2500,0000-00-00
126,100,,0,75,0000-00-00
258,99,,300,850,0000-00-00
120,96,Inventory Module,10000,10000,0000-00-00
121,97,Invoicing Module,10000,10000,0000-00-00
123,98,,15000,15000,0000-00-00
134,102,,3450,0,0000-00-00
143,103,,390,0,0000-00-00
137,104,,1250,0,0000-00-00
144,106,,9735,13000,0000-00-00
159,107,,10,15,0000-00-00
146,108,,7,12,0000-00-00
147,109,,0,0,0000-00-00
148,46,,0,0,0000-00-00
149,110,,0,0,0000-00-00
150,111,,450,0,0000-00-00
151,112,,25,50,0000-00-00
160,113,,0,0,0000-00-00
153,114,,0,0,0000-00-00
154,115,,0,0,0000-00-00
155,116,,60,0,0000-00-00
161,117,,0,0,0000-00-00
157,118,,0,0,0000-00-00
162,119,,0,0,0000-00-00
385,121,,30,15,0000-00-00
166,124,,0,0,0000-00-00
167,125,,0,0,0000-00-00
168,126,,0,0,0000-00-00
169,127,,0,0,0000-00-00
170,128,,0,0,0000-00-00
171,129,,0,0,0000-00-00
172,130,,0,0,0000-00-00
173,131,,0,0,0000-00-00
177,95,,0,0,0000-00-00
184,12,,2000,2500,0000-00-00
251,55,,25,100,0000-00-00
398,133,CP VAC D10L2,650,2150,0000-00-00
187,134,CP VAC T10PL2,750,2700,0000-00-00
188,8,Long CS,27000,27000,0000-00-00
200,135,Cabling ,0,90,0000-00-00
309,136,Wiring 4+1 Coaxial cable,0,65,0000-00-00
211,138,8 CH DVR with 1 SATA,3500,9000,0000-00-00
212,139,8 CH DVR with 1 SATA,3500,9000,0000-00-00
203,140,16 CH DVR 2 SATA,9500,15500,0000-00-00
216,146,,0,0,0000-00-00
275,149,,12000,16000,0000-00-00
224,143,,0,0,0000-00-00
219,144,,0,0,0000-00-00
220,142,,0,0,0000-00-00
267,147,,1500,2800,0000-00-00
268,148,,850,2500,0000-00-00
274,76,,175,350,0000-00-00
335,27,,12,45,0000-00-00
358,35,M.R.E 06,590,1800,0000-00-00
363,21,,2100,7000,0000-00-00
281,22,,1700,3000,0000-00-00
272,44,,0,0,0000-00-00
276,151,TD W8961N,1800,2300,0000-00-00
284,155,Sony Smart TV,31000,46500,0000-00-00
279,153,Sony Smart Wi Fi ,34000,51000,0000-00-00
285,157,,3150,5400,0000-00-00
286,158,,950,2700,0000-00-00
289,160,,0,0,0000-00-00
290,161,VDA,900,1800,0000-00-00
291,162,VDA repair charges,0,0,0000-00-00
320,163,,1290,1550,0000-00-00
314,164,,1550,2300,0000-00-00
315,165,,1390,1600,0000-00-00
313,166,,15000,22500,0000-00-00
298,167,,4900,13250,0000-00-00
318,168,32 CH Power supply panel with cable guide,4500,7750,0000-00-00
319,169,8TB HDD,15650,20000,0000-00-00
321,170,,0,2700,0000-00-00
322,171,,45825,0,0000-00-00
323,172,,0,0,0000-00-00
324,174,,560,1000,0000-00-00
325,175,,600,1500,0000-00-00
