id,inid,pid,modal,s/n,rate,qty,discount,amount,tax,tax_amount,Alias,Owner
49,1,15,NULL,NULL,2500,4,,10000,NULL,NULL,true,2
48,1,16,NULL,NULL,2700,12,,32400,NULL,NULL,true,2
47,1,41,NULL,NULL,15000,1,,15000,NULL,NULL,false,2
46,1,48,NULL,NULL,8500,1,,8500,NULL,NULL,false,2
45,1,36,NULL,NULL,2100,1,,2100,NULL,NULL,false,2
44,1,27,NULL,NULL,45,34,,1530,NULL,NULL,false,2
43,1,28,NULL,NULL,30,16,,480,NULL,NULL,false,2
270,2,67,NULL,NULL,3000,19,,57000,NULL,NULL,false,2
269,2,66,NULL,NULL,9000,19,,171000,NULL,NULL,false,2
268,2,56,NULL,NULL,10500,1,,10500,NULL,NULL,false,2
267,2,27,NULL,NULL,54,16,,864,NULL,NULL,false,2
266,2,35,NULL,NULL,1800,1,,1800,NULL,NULL,false,2
265,2,20,NULL,NULL,5700,1,,5700,NULL,NULL,false,2
264,2,16,NULL,NULL,2700,6,,16200,NULL,NULL,false,2
263,2,15,NULL,NULL,2500,2,,5000,NULL,NULL,false,2
262,2,55,NULL,NULL,100,8,,800,NULL,NULL,false,2
261,2,69,NULL,NULL,18000,1,,18000,NULL,NULL,false,2
260,2,65,NULL,NULL,10000,1,,10000,NULL,NULL,false,2
259,2,28,NULL,NULL,30,8,,240,NULL,NULL,false,2
690,3,98,NULL,NULL,20000,1,5%,19000,NULL,NULL,false,4
689,3,97,NULL,NULL,10000,1,5%,9500,NULL,NULL,false,4
688,3,96,NULL,NULL,10000,1,5%,9500,NULL,NULL,false,4
353,6,36,NULL,NULL,2100,1,,2100,NULL,NULL,false,2
352,6,50,NULL,NULL,14500,1,,14500,NULL,NULL,false,2
351,6,16,NULL,NULL,2700,2,,5400,NULL,NULL,false,2
350,6,15,NULL,NULL,2500,10,,25000,NULL,NULL,false,2
349,6,27,NULL,NULL,54,16,,864,NULL,NULL,false,2
348,6,65,NULL,NULL,5000,1,,5000,NULL,NULL,false,2
347,6,24,NULL,NULL,7200,1,,7200,NULL,NULL,false,2
346,6,48,NULL,NULL,9800,1,,9800,NULL,NULL,false,2
399,7,136,NULL,NULL,90,75,,6750,NULL,NULL,false,2
398,7,65,NULL,NULL,2500,1,,2500,NULL,NULL,false,2
397,7,28,NULL,NULL,30,4,,120,NULL,NULL,false,2
396,7,27,NULL,NULL,54,8,,432,NULL,NULL,false,2
395,7,20,NULL,NULL,6900,1,,6900,NULL,NULL,false,2
394,7,21,NULL,NULL,7200,1,,7200,NULL,NULL,false,2
393,7,16,NULL,NULL,2700,3,,8100,NULL,NULL,false,2
392,7,34,NULL,NULL,1250,1,,1250,NULL,NULL,false,2
428,8,136,NULL,NULL,65,100,,6500,NULL,NULL,false,2
427,8,28,NULL,NULL,30,7,,210,NULL,NULL,false,2
426,8,27,NULL,NULL,50,14,,700,NULL,NULL,false,2
425,8,20,NULL,NULL,6500,1,,6500,NULL,NULL,false,2
424,8,14,NULL,NULL,9000,1,,9000,NULL,NULL,false,2
423,8,16,NULL,NULL,2700,2,,5400,NULL,NULL,false,2
422,8,15,NULL,NULL,2500,5,,12500,NULL,NULL,false,2
421,8,35,NULL,NULL,1500,1,,1500,NULL,NULL,false,2
429,8,55,NULL,NULL,75,7,,525,NULL,NULL,false,2
557,10,156,NULL,NULL,46500,1,,46500,NULL,NULL,false,2
