tid,Value,Owner
1,PHP,0
2,Perl,0
3,Javascript,0
4,ASP,0
5,Goa,0
6,Road Trip,0
7,Non veg,0
8,Alcohol,0
9,Relaxation,0
10,Test,0
11,Sleep,0
12,Eating,0
13,Watching Videos,0
14,Average studies,1
15,Good attendance,1
16,Sportsman,1
17,Less study time,1
18,Extra curriculars,1
19,Goa,1
20,Road Trip,1
21,Alcohol,1
22,Non veg,1
23,Relaxation,1
24,Test,1
25,PHP,1
26,Perl,1
27,ASP,1
28,Javascript,1
29,Amazon,1
30,Recharge,1
31,TM10N2E-Chaityna Goregaon &TM10N3-26 &13 Sai Sarovar,2
32,DB8TO-Dbake Bldg.,2
33,Chaitanya,2
34,Goregaon,2
35,Sai Sarovar,2
36,TM10N2E - Chaitanya Goregaon,2
37,TM10N3-26 & 13 Sai Sarovar,2
38,Maitree Park,2
39,-0360B  - 8nos - Maitree Park,2
40,116HS-538714,2
41,Damajibhai,2
42,Sai Gabasti,2
43,Vishal Diamond MIDC,2
44,Malgudi-Turbhe,2
45,Vishal,2
46,New Dindoshi,2
47,Answer Sheet 120 Papers & Xerox copy of 8085 & 8051 ok,1
48,shree siddhi,2
49,Anurag Nursing Home,2
50,Practice Agile Solution Pvt.Ltd,2
51,Stationary,4
52,Anupam,4
53,Personal Card Payments,4
54,Mike Offset,2
55,Surajmal Lallubhai,2
56,Gokul Nagari,2
57,Kesari Tours,4
58,Chairs & Tables,4
59,Mahindra,4
60,ABC Infra,4
61,Wood,4
62,Inventory,4
63,Invoice,4
64,Assembly,4
65,Camera,4
66,Test,4
67,Darshan Hights,2
68,BNPL,2
69,Office DVR,2
70,Sanjuz Entrtentment,2
71,A,2
